"Country or Area Code";"Country or Area";"Year";"Value";"Value Footnotes"
"BLR";"Belarus";"2000";"31.2";"1"
"BLR";"Belarus";"1999";"31.7";"1"
"BLR";"Belarus";"1998";"32";"1"
"BEL";"Belgium";"2015";"27.7";"5"
"BEL";"Belgium";"2014";"28.1";"5"
"BEL";"Belgium";"2013";"27.7";"5"
"BEL";"Belgium";"2012";"27.5";"5"
"BEL";"Belgium";"2011";"28.1";"5"
"BEL";"Belgium";"2010";"28.4";"5"
"BEL";"Belgium";"2009";"28.5";"5"
"BEL";"Belgium";"2008";"28.4";"5"
"BEL";"Belgium";"2007";"29.2";"5"
"BEL";"Belgium";"2006";"28.1";"5"
"BEL";"Belgium";"2005";"29.3";"5"
"BEL";"Belgium";"2004";"30.5";"5"
"BEL";"Belgium";"2003";"28.1";"5"
"BLZ";"Belize";"1999";"53.3";"5"
"BLZ";"Belize";"1998";"54.9";"5"
"BLZ";"Belize";"1997";"60.4";"5"
"BLZ";"Belize";"1996";"56.6";"5"
"BLZ";"Belize";"1994";"60.9";"5"
"BLZ";"Belize";"1993";"60.3";"5"
"BEN";"Benin";"2015";"47.8";"1"
"BEN";"Benin";"2011";"43.4";"1"
"BEN";"Benin";"2003";"38.6";"1"
"BTN";"Bhutan";"2012";"38.8";"1"
"BTN";"Bhutan";"2007";"38.1";"1"
"BTN";"Bhutan";"2003";"46.8";"1"
"BOL";"Bolivia";"2016";"44.6";"5"
"BOL";"Bolivia";"2015";"46.7";"5"
"BOL";"Bolivia";"2014";"47.8";"5"
"BOL";"Bolivia";"2013";"47.6";"5"
"BOL";"Bolivia";"2012";"46.6";"5"
"BOL";"Bolivia";"2011";"46.1";"5"
"BOL";"Bolivia";"2009";"49.2";"5"
"BOL";"Bolivia";"2008";"50.8";"5"
"BOL";"Bolivia";"2007";"54.5";"5"
"BOL";"Bolivia";"2006";"56.7";"5"
"BOL";"Bolivia";"2005";"58.5";"5"
"BOL";"Bolivia";"2004";"55";"5"
"BOL";"Bolivia";"2002";"59.3";"5"
"BOL";"Bolivia";"2001";"57.4";"5"
"BOL";"Bolivia";"2000";"61.6";"5"
"BOL";"Bolivia";"1999";"58.1";"5"
"BOL";"Bolivia";"1997";"58.2";"5"
"BOL";"Bolivia";"1990";"42";"6"
"BIH";"Bosnia and Herzegovina";"2015";"32.7";"1"
"BIH";"Bosnia and Herzegovina";"2011";"33";"1"
"BIH";"Bosnia and Herzegovina";"2007";"33.1";"1"
"BIH";"Bosnia and Herzegovina";"2004";"34";"1"
"BIH";"Bosnia and Herzegovina";"2001";"30";"1"
"BWA";"Botswana";"2009";"60.5";"1"
"BWA";"Botswana";"2002";"64.7";"1"
"BWA";"Botswana";"1993";"60.8";"2"
"BWA";"Botswana";"1985";"54.2";"2"
"BRA";"Brazil";"2015";"51.3";"5"
"BRA";"Brazil";"2014";"51.5";"5"
"BRA";"Brazil";"2013";"52.8";"5"
"BRA";"Brazil";"2012";"52.6";"5"
"BRA";"Brazil";"2011";"52.9";"5"
"BRA";"Brazil";"2009";"53.7";"5"
"BRA";"Brazil";"2008";"54";"5"
"BRA";"Brazil";"2007";"54.9";"5"
"BRA";"Brazil";"2006";"55.6";"5"
"BRA";"Brazil";"2005";"56.3";"5"
"BRA";"Brazil";"2004";"56.5";"5"
"BRA";"Brazil";"2003";"57.6";"5"
"BRA";"Brazil";"2002";"58.1";"5"
"BRA";"Brazil";"2001";"58.4";"5"
"BRA";"Brazil";"1999";"59";"5"
"BRA";"Brazil";"1998";"59.6";"5"
"BRA";"Brazil";"1997";"59.8";"5"
"BRA";"Brazil";"1996";"59.9";"5"
"BRA";"Brazil";"1995";"59.6";"5"
"BRA";"Brazil";"1993";"60.1";"5"
"BRA";"Brazil";"1992";"53.2";"5"
"BRA";"Brazil";"1990";"60.5";"5"
"BRA";"Brazil";"1989";"63.3";"5"
"BRA";"Brazil";"1988";"61.4";"5"
"BRA";"Brazil";"1987";"59.7";"5"
"BRA";"Brazil";"1986";"58.5";"5"
"BRA";"Brazil";"1985";"55.6";"5"
"BRA";"Brazil";"1984";"58.4";"5"
"BRA";"Brazil";"1983";"59";"5"
"BRA";"Brazil";"1982";"58.4";"5"
"BRA";"Brazil";"1981";"58";"5"
"BGR";"Bulgaria";"2014";"37.4";"5"
"BGR";"Bulgaria";"2013";"36.6";"5"
"BGR";"Bulgaria";"2012";"36";"5"
"BGR";"Bulgaria";"2011";"34.3";"5"
"BGR";"Bulgaria";"2010";"35.7";"5"
"BGR";"Bulgaria";"2009";"33.8";"5"
"BGR";"Bulgaria";"2008";"33.6";"5"
"BGR";"Bulgaria";"2007";"36.1";"5"
"BGR";"Bulgaria";"2006";"35.7";"5"
"BGR";"Bulgaria";"1992";"30.7";"6"
"BFA";"Burkina Faso";"2014";"35.3";"1"
"BFA";"Burkina Faso";"2009";"39.8";"1"
"BFA";"Burkina Faso";"2003";"43.3";"1"
"BFA";"Burkina Faso";"1998";"49.9";"1"
"BFA";"Burkina Faso";"1994";"48.1";"1"
"BDI";"Burundi";"2013";"38.6";"1"
"BDI";"Burundi";"2006";"33.4";"1"
