_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
290.1500570250	-01.2703731500	V0530 Aql	12.90	 	19.0	P	366.00	                 	
293.1518786939	+10.9681266807	V0533 Aql	13.90	<	16.3	P	354.00	                 	
297.0576871050	+02.6522591300	V0540 Aql	13.80	 	18.5	P	308.50	                 	
297.3649859154	-02.0245944825	V0545 Aql	13.50	<	16.0	P	243.50	                 	
302.1512338205	-04.4773808761	V0580 Aql	12.50	 	18.5	P	150.20	Me               	
302.0865789878	+00.8603619921	V0581 Aql	12.50	<	17.0	P	215.80	                 	
305.4080650634	+00.6802012754	V0595 Aql	12.50	<	16.0	P	241.30	                 	
293.8400380606	+00.6791376667	V0607 Aql	14.10	<	18.5	P	474.00	M9               	
293.5105851517	+09.1528570982	V0626 Aql	13.80	<	16.2	P	142.00	                 	
296.4700578013	+00.4428123899	V0671 Aql	13.80	 	18.0	P	221.00	                 	
297.8603747477	+14.2752597906	V0704 Aql	12.20	 	15.8	P	281.00	                 	
298.1201142629	+16.0417476690	V0707 Aql	13.90	<	16.5	P	259.00	                 	
288.1717718234	-00.4572417118	V0811 Aql	14.80	<	16.8	P	146.10	                 	
305.9776756164	+00.9457757540	V0865 Aql	 9.50	 	13.9	P	364.80	M6-M7(S7,5e:)    	100599
284.0792098070	-00.3288440335	V0867 Aql	13.40	 	16.2	P	195.16	                 	
297.3979268694	-02.3557679817	V0893 Aql	12.00	<	16.5	P	316.70	M2III:e          	
288.9774627055	-01.4436694481	V1116 Aql	14.80	<	17.5	P	860.00	                 	
295.1853283311	-00.1874589190	V1147 Aql	14.20	<	17.0	P	208.00	                 	
292.2961381651	+03.4264129700	V1242 Aql	15.60	<	17.5	P	229.50	                 	
268.4067389126	-51.6873132096	U     Ara	 7.70	 	14.1	V	225.21	M3IIep-M5e       	
249.1027894727	-55.4147883542	X     Ara	 9.00	 	14.5	P	175.78	M5e-M7eII-III    	 81309
249.7728486322	-59.8063864501	Y     Ara	 9.80	<	13.0	P	241.30	M2e-M6e          	
253.5554403545	-56.2650041078	Z     Ara	10.00	 	13.5	P	288.73	M3e-M5e          	 82695
262.0347346083	-49.9210579350	RR    Ara	10.70	 	13.8	P	205.50	M3e              	
257.7807462000	-61.9542190572	SZ    Ara	11.00	 	15.0	P	220.50	Ce(R-NB)         	 84059
270.9822214988	-47.2332354908	TT    Ara	11.00	<	14.0	P	175.00	M6e              	
252.3914594498	-53.6734123935	TV    Ara	12.00	<	15.0	P	367.00	M2e              	 82348
266.8709368149	-53.8418457244	UU    Ara	12.30	 	16.8	P	188.50	                 	
256.6486346486	-59.0587851506	CH    Ara	10.90	 	16.8	P	250.20	Me               	
