RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
187.466250	-16.515556	4757	  7Del Crv	108767	 5656    	 2.95	-0.05	  B9.5V
188.596667	-23.396667	4786	  9Bet Crv	109379	 5729    	 2.65	 0.89	  G5II
182.531250	-22.619722	4630	  2Eps Crv	105707	 5483    	 3.00	 1.33	  K2.5IIIaBa0.2:
								
#Cancer
131.666667	+28.765278	3474	 48Iot Cnc	 74738	 4238    	 6.57	 0.04	  A3V
130.821250	+21.468611	3449	 43Gam Cnc	 74198	         	 4.66	 0.02	  A1IV
131.171250	+18.154167	3461	 47Del Cnc	 74442	         	 3.94	 1.08	  K0III-IIIb
134.621667	+11.857778	3572	 65Alp Cnc	 76756	 4327    	 4.25	 0.14	  A5m
								
131.171250	+18.154167	3461	 47Del Cnc	 74442	         	 3.94	 1.08	  K0III-IIIb
124.128750	 +9.185556	3249	 17Bet Cnc	 69267	 3973    	 3.52	 1.48	  K4IIIBa0.5
								
#Bootes
208.671250	+18.397778	5235	  8Eta Boo	121370	         	 2.68	 0.58	  G0IV
213.915417	+19.182500	5340	 16Alp Boo	124897	 6603    	-0.04	 1.23	  K1.5IIIFe-0.5
217.957500	+30.371389	5429	 25Rho Boo	127665	 6697    	 3.58	 1.30	  K3-III
218.019583	+38.308333	5435	 27Gam Boo	127762	Gam Boo  	 3.03	 0.19	  A7III
225.486667	+40.390556	5602	 42Bet Boo	133208	 6898    	 3.50	 0.97	  G8IIIaBa0.3Fe-0.5
228.875833	+33.314722	5681	 49Del Boo	135722	 7002    	 3.47	 0.95	  G8IIIFe-1
221.246667	+27.075000	5505	 36Eps Boo	129988	         	 5.12	     	  A2V
213.915417	+19.182500	5340	 16Alp Boo	124897	 6603    	-0.04	 1.23	  K1.5IIIFe-0.5
220.287083	+13.728333	5477	 30Zet Boo	129246	 6766    	 4.83	     	  A2III
								
#Auriga
089.882083	+44.947500	2088	 34Bet Aur	 40183	Bet Aur  	 1.90	 0.03	  A2IV
079.172500	+45.998056	1708	 13Alp Aur	 34029	 1897    	 0.08	 0.80	  G5IIIe+G0III
076.628750	+41.234444	1641	 10Eta Aur	 32630	 1822    	 3.17	-0.18	  B3V
074.248333	+33.166111	1577	  3Iot Aur	 31398	 1778    	 2.69	 1.53	  K3II
081.572917	+28.607500	1791	112Bet Tau	 35497	         	 1.65	-0.13	  B7III
089.930417	+37.212500	2095	 37The Aur	 40312	The Aur  	 2.62	-0.08	  A0pSi
089.882083	+44.947500	2088	 34Bet Aur	 40183	Bet Aur  	 1.90	 0.03	  A2IV
								
089.882083	+44.947500	2088	 34Bet Aur	 40183	Bet Aur  	 1.90	 0.03	  A2IV
089.881667	+54.284722	2077	 33Del Aur	 40035	         	 3.72	 1.00	  K0-III
079.172500	+45.998056	1708	 13Alp Aur	 34029	 1897    	 0.08	 0.80	  G5IIIe+G0III
								
079.172500	+45.998056	1708	 13Alp Aur	 34029	 1897    	 0.08	 0.80	  G5IIIe+G0III
075.492083	+43.823333	1605	  7Eps Aur	 31964	Eps Aur  	 2.99	 0.54	  F0Iae+B
075.619583	+41.075833	1612	  8Zet Aur	 32068	Zet Aur  	 3.75	 1.22	  K4II+B8V
								
#Aries
028.382500	+19.295833	 545	  5Gam1Ari	 11503	Var?     	 4.83	     	  B9V
028.660000	+20.808056	 553	  6Bet Ari	 11636	  658    	 2.64	 0.13	  A5V
031.793333	+23.462500	 617	 13Alp Ari	 12929	  725    	 2.00	 1.15	  K2-IIICa-1
042.495833	+27.260556	 838	 41    Ari	 17573	  951    	 3.63	-0.10	  B8Vn
								
#Triangulum
028.270417	+29.578889	 544	  2Alp Tri	 11443	         	 3.41	 0.49	  F6IV
032.385833	+34.987222	 622	  4Bet Tri	 13161	         	 3.00	 0.14	  A5III
034.328750	+33.847222	 664	  9Gam Tri	 14055	         	 4.01	 0.02	  A1Vnn
028.270417	+29.578889	 544	  2Alp Tri	 11443	         	 3.41	 0.49	  F6IV
								
#Ursa Minor
037.952917	+89.264167	 424	  1Alp UMi	  8890	Alp UMi  	 2.02	 0.60	  F7:Ib-II
263.053750	+86.586389	6789	 23Del UMi	166205	         	 4.36	 0.02	  A1Vn
251.492083	+82.037222	6322	 22Eps UMi	153751	Eps UMi  	 4.23	 0.89	  G5III
236.014583	+77.794444	5903	 16Zet UMi	142105	 7263    	 4.32	 0.04	  A3Vn
222.676250	+74.155556	5563	  7Bet UMi	131873	 6846    	 2.08	 1.47	  K4-III
230.182083	+71.833889	5735	 13Gam UMi	137422	Gam UMi  	 3.05	 0.05	  A3II-III
244.376250	+75.755278	6116	 21Eta UMi	148048	         	 4.95	 0.37	  F5V
236.014583	+77.794444	5903	 16Zet UMi	142105	 7263    	 4.32	 0.04	  A3Vn
								
#Triangulum Australe
252.166250	-69.027778	6217	   Alp TrA	150798	         	 1.92	 1.44	  K2IIb-IIIa
238.785417	-63.430556	5897	   Bet TrA	141891	         	 2.85	 0.29	  F2III
234.180000	-66.316944	5771	   Eps TrA	138538	         	 4.11	 1.17	  K1-2III
229.727500	-68.679444	5671	   Gam TrA	135382	 7008    	 2.89	 0.00	  A1V
252.166250	-69.027778	6217	   Alp TrA	150798	         	 1.92	 1.44	  K2IIb-IIIa
								
#Lupus
