RAJ2000	DEJ2000	tag
276.55	-18.43333	MW1
269.56667	-14.73917	MW1
271.2375	-15.61389	MW1
273.65	-16.75472	MW1
279.14583	-19.465	MW1
280.46667	-20.05528	MW1
273.52083	-16.60778	MW1
274.0875	-16.85	MW1
274.13333	-16.85806	MW1
274.32917	-16.93389	MW1
274.75	-17.13389	MW1
273.34583	-16.38472	MW1
276.42083	-17.95361	MW1
283.12917	-21.08194	MW1
280.375	-19.82583	MW1
274.55	-16.955	MW1
274.625	-16.97528	MW1
272.10417	-15.58417	MW1
274.98333	-17.08611	MW1
273.99583	-16.56722	MW1
274.5625	-16.84944	MW1
274.3875	-16.65056	MW1
272.88333	-15.85417	MW1
274.72917	-16.7875	MW1
276.91667	-3.83111	MW1
273.55417	-16.1	MW1
270.58333	-14.50694	MW1
274.225	-16.31472	MW1
278.91667	-18.61111	MW1
273.4	-15.82361	MW1
270.20417	-14.06667	MW1
274.8375	-16.51556	MW1
274.00417	-16.08556	MW1
296.45833	-25.72	MW1
273.87917	-15.99833	MW1
271.5625	-14.74694	MW1
275.20417	-16.6	MW1
274.02917	-15.95333	MW1
273.10833	-15.38	MW1
283.05417	-20.21667	MW1
276.46667	-17.07833	MW1
274.07083	-15.78167	MW1
275.1375	-16.26889	MW1
272.44583	-14.84972	MW1
275.11667	-16.21861	MW1
274.42083	-15.85611	MW1
275.975	-16.65	MW1
275.125	-16.18194	MW1
275.11667	-16.17083	MW1
275.8125	-16.52278	MW1
275.12917	-16.13111	MW1
291.825	-23.58306	MW1
275.17917	-16.14	MW1
254.2875	-4.09944	MW1
275.13333	-16.04972	MW1
271.65417	-14.20472	MW1
276.72917	-16.84167	MW1
274.06667	-15.47639	MW1
267.675	-12.00167	MW1
278.84583	-17.86306	MW1
277.92083	-17.34167	MW1
275.3125	-15.90722	MW1
272.60833	-14.48	MW1
283.64167	-19.89556	MW1
276.1375	-16.26833	MW1
278.2	-17.25194	MW1
277.02917	-16.63917	MW1
295.40833	-24.455	MW1
273.9	-14.99	MW1
1.02917	-29.83167	MW1
275.20833	-15.61056	MW1
274.09167	-14.98611	MW1
275.06667	-15.44222	MW1
251.8125	-1.94778	MW1
291.225	-22.70833	MW1
282.3	-18.885	MW1
278.15	-16.89722	MW1
283.5	-19.4125	MW1
278.77083	-17.17556	MW1
282.27083	-18.73	MW1
276.7	-16.00861	MW1
314.90417	-29.38667	MW1
271.9875	-13.43472	MW1
270.925	-12.77694	MW1
273.925	-14.33556	MW1
274.30833	-14.52056	MW1
276.95417	-15.8875	MW1
271.24583	-12.85306	MW1
275.23333	-14.92583	MW1
275.79583	-15.2175	MW1
281.99167	-18.22833	MW1
269.39583	-11.68667	MW1
275.20833	-14.80111	MW1
269.43333	-11.67917	MW1
275.32083	-14.80167	MW1
269.5125	-11.6625	MW1
264.9625	-9.10083	MW1
271.14167	-12.51222	MW1
293.66667	-22.89056	MW1
278.04583	-16.05	MW1
282.59167	-18.17833	MW1
261.7875	-7.09306	MW1
275.66667	-14.72806	MW1
254.54583	-2.6825	MW1
273.95	-13.79917	MW1
